chrom	position	freq	type	variants_included
2L	50000	63.9802727272727	normal_freq	110
2L	50000	61.9754545454545	tum_freq	110
2L	150000	54.9278947368421	normal_freq	114
2L	150000	54.1594736842105	tum_freq	114
2L	250000	59.396064516129	normal_freq	155
2L	250000	59.4446451612903	tum_freq	155
2L	350000	66.1368717948718	normal_freq	195
2L	350000	65.4666666666667	tum_freq	195
2L	450000	64.0266761363636	normal_freq	352
2L	450000	64.6661931818182	tum_freq	352
2L	550000	64.0456771799629	normal_freq	539
2L	550000	64.9506307977736	tum_freq	539
2L	650000	61.7601086956522	normal_freq	368
2L	650000	61.1704347826087	tum_freq	368
2L	750000	72.0597674418605	normal_freq	430
2L	750000	73.0004418604651	tum_freq	430
2L	850000	68.4411267605634	normal_freq	497
2L	850000	68.0889939637828	tum_freq	497
2L	950000	68.2807142857143	normal_freq	532
2L	950000	67.3502255639098	tum_freq	532
2L	1050000	64.256091954023	normal_freq	696
2L	1050000	64.8518247126436	tum_freq	696
2L	1150000	63.9980168067227	normal_freq	595
2L	1150000	63.9013445378151	tum_freq	595
2L	1250000	67.7748660714286	normal_freq	448
2L	1250000	66.0921205357143	tum_freq	448
2L	1350000	70.1483513513513	normal_freq	370
2L	1350000	70.4440810810811	tum_freq	370
2L	1450000	64.0128148148148	normal_freq	540
2L	1450000	62.7304074074074	tum_freq	540
2L	1550000	61.1020700636943	normal_freq	314
2L	1550000	62.0376114649681	tum_freq	314
2L	1650000	62.3828277153559	normal_freq	534
2L	1650000	62.8501123595506	tum_freq	534
2L	1750000	67.0018971631206	normal_freq	564
2L	1750000	67.1419858156029	tum_freq	564
2L	1850000	63.8655846774194	normal_freq	496
2L	1850000	63.8361088709677	tum_freq	496
2L	1950000	65.5380410742496	normal_freq	633
2L	1950000	66.1985781990522	tum_freq	633
2L	2050000	70.0091469194312	normal_freq	422
2L	2050000	69.923981042654	tum_freq	422
2L	2150000	66.5316901408451	normal_freq	284
2L	2150000	66.1358450704225	tum_freq	284
2L	2250000	64.2382957393484	normal_freq	399
2L	2250000	63.5768421052631	tum_freq	399
2L	2350000	65.430242825607	normal_freq	453
2L	2350000	65.6848565121413	tum_freq	453
2L	2450000	66.1095426829268	normal_freq	328
2L	2450000	64.1728963414634	tum_freq	328
2L	2550000	64.5522736030829	normal_freq	519
2L	2550000	63.3913680154143	tum_freq	519
2L	2650000	64.0465744680851	normal_freq	470
2L	2650000	64.7474042553191	tum_freq	470
2L	2750000	63.7999463327371	normal_freq	559
2L	2750000	64.05771019678	tum_freq	559
2L	2850000	66.6962657342658	normal_freq	715
2L	2850000	65.3007412587413	tum_freq	715
2L	2950000	63.6747570850203	normal_freq	494
2L	2950000	64.0871457489879	tum_freq	494
2L	3050000	80.7321299638989	normal_freq	277
2L	3050000	81.1301083032491	tum_freq	277
2L	3150000	66.8810769230769	normal_freq	325
2L	3150000	65.4449846153846	tum_freq	325
2L	3250000	64.1541870824054	normal_freq	449
2L	3250000	63.3670601336303	tum_freq	449
2L	3350000	75.7826956521739	normal_freq	575
2L	3350000	77.0267130434782	tum_freq	575
2L	3450000	65.3667311072057	normal_freq	569
2L	3450000	65.4161159929702	tum_freq	569
2L	3550000	63.8802564102564	normal_freq	624
2L	3550000	64.1655448717949	tum_freq	624
2L	3650000	70.4558906525573	normal_freq	567
2L	3650000	69.2637918871253	tum_freq	567
2L	3750000	70.5556876456876	normal_freq	429
2L	3750000	70.4208391608392	tum_freq	429
2L	3850000	64.4578723404255	normal_freq	517
2L	3850000	64.2226885880077	tum_freq	517
2L	3950000	65.1126213592233	normal_freq	309
2L	3950000	64.8025889967638	tum_freq	309
2L	4050000	67.1924509803922	normal_freq	306
2L	4050000	67.0358169934641	tum_freq	306
2L	4150000	64.2150858369099	normal_freq	466
2L	4150000	66.2128326180258	tum_freq	466
2L	4250000	66.6860341880342	normal_freq	585
2L	4250000	66.8542905982906	tum_freq	585
2L	4350000	62.4291752577319	normal_freq	485
2L	4350000	62.8867216494845	tum_freq	485
2L	4450000	70.1464736842105	normal_freq	570
2L	4450000	70.0147894736842	tum_freq	570
2L	4550000	58.4397777777778	normal_freq	315
2L	4550000	58.4696825396826	tum_freq	315
2L	4650000	67.2583766233766	normal_freq	308
2L	4650000	68.6918831168831	tum_freq	308
2L	4750000	62.119623015873	normal_freq	504
2L	4750000	61.7135515873016	tum_freq	504
2L	4850000	64.2523076923077	normal_freq	468
2L	4850000	63.8152777777778	tum_freq	468
2L	4950000	60.0324852071005	normal_freq	507
2L	4950000	60.0410256410257	tum_freq	507
2L	5050000	58.3693675889328	normal_freq	253
2L	5050000	59.4560869565217	tum_freq	253
2L	5150000	49.4515355805243	normal_freq	267
2L	5150000	47.9402996254681	tum_freq	267
2L	5250000	56.4537083333333	normal_freq	240
2L	5250000	56.5378333333333	tum_freq	240
2L	5350000	63.9838188976378	normal_freq	254
2L	5350000	65.3700787401574	tum_freq	254
2L	5450000	67.0636764705883	normal_freq	340
2L	5450000	65.8776470588235	tum_freq	340
2L	5550000	70.2331063829787	normal_freq	470
2L	5550000	70.2604042553191	tum_freq	470
2L	5650000	67.8913636363637	normal_freq	330
2L	5650000	67.8342727272727	tum_freq	330
2L	5750000	61.0908201892744	normal_freq	317
2L	5750000	62.3271924290221	tum_freq	317
2L	5850000	64.5317206982544	normal_freq	401
2L	5850000	63.6706483790524	tum_freq	401
2L	5950000	66.8033333333334	normal_freq	417
2L	5950000	66.5913908872902	tum_freq	417
2L	6050000	68.6666877637131	normal_freq	474
2L	6050000	68.0661392405063	tum_freq	474
2L	6150000	65.138019047619	normal_freq	525
2L	6150000	64.6724761904762	tum_freq	525
2L	6250000	65.1476056338028	normal_freq	426
2L	6250000	64.2815492957747	tum_freq	426
2L	6350000	60.6331355932203	normal_freq	472
2L	6350000	60.8542796610169	tum_freq	472
2L	6450000	61.9552577319587	normal_freq	388
2L	6450000	62.7675000000001	tum_freq	388
2L	6550000	64.1303441295547	normal_freq	494
2L	6550000	63.5007692307692	tum_freq	494
2L	6650000	62.0643697478992	normal_freq	238
2L	6650000	61.9881092436975	tum_freq	238
2L	6750000	66.2347088186357	normal_freq	601
